intent,text
shipping_information,JNE ke Palembang berapa hari reguler
promotions_discounts,ada diskon di toko offline juga ga sih
shipping_information,ekspedisi reguler vs kargo murah mana nih
cancellation_request,pembatalan tiket event bisa ga nih
complaint,saya minta kompensasi atas ketidaknyamanan ini sob
account_data,cara menghapus riwayat pencarian min
cancellation_request,reservasi villa mau di-cancel kak
product_service_info,selimut cocok buat lama ga sih
refund_request,proses refund item berapa lama sob
product_service_info,harddisk cocok dipake outdoor ga
complaint,minta pertanggungjawaban atas paket tidak berfungsi
promotions_discounts,cashback rekening BCA coins bisa buat apa aja dong
technical_support,app grab error pas buka checkout
product_service_info,lemari pakaian ini bisa dicuci pake mesin cuci dong
operating_hours_location,ada toko yg buka sampai jam 10 malam deh
promotions_discounts,promo ovo untuk harbolnas ada ga
shipping_information,bisa request Pos Indonesia ga buat kirim pesanan
complaint,pelayanan mengecewakan banget deh
order_status,driver udah otw belum ya
order_status,courier ga gerak-gerak dari kemarin bang
complaint,driver minta ongkir tambahan di luar app dong
complaint,seller kirim pesanan lecet ini gimana
cancellation_request,cancel reservasi hotel saya bang
cancellation_request,saya minta cancel karena ada keadaan darurat min
shipping_information,estimasi Ninja ke Batam berapa lama
product_service_info,review powerbank dari user lain bisa liat ga
operating_hours_location,nomor WhatsApp toko ada ga bang
operating_hours_location,ada toko yg buka sampai jam 10 malam kak
order_status,resinya ga update dari 2 hari lalu min
cancellation_request,cara batalkan subscription wifi berbayar dong
order_status,ini orderan sudah di pickup belum min
operating_hours_location,bisa lihat barang langsung di store ga gan
complaint,foto beda jauh sama kondisi real pesanan dong
refund_request,ajuin refund tapi ditolak mulu kenapa kak
order_status,lacak resi JKT8382 dong bang
complaint,baru pake 2 hari udah kotor parah ya
account_data,akun ke-hack ganti email orang lain sob
cancellation_request,seller ga respon mau cancel aja sih
operating_hours_location,ada gerai di Yogyakarta ga kak
product_service_info,beli tas bisa grosir ga ada harga khusus bang
refund_request,minta uang balik untuk item kak
complaint,ini bukan pertama kali pesanan saya retak
order_status,order semalem kok masih diproses terus min
payment_inquiry,tagihan beda sama harga di keranjang kenapa deh
technical_support,kok tiba-tiba logout sendiri nih
cancellation_request,batalkan cloud storage saya min
operating_hours_location,nomor WhatsApp toko ada ga deh
operating_hours_location,jam CS untuk area Batam berapa
promotions_discounts,cara ikut lucky draw berhadiah di platform nih
operating_hours_location,ada gerai di Sulawesi ga bang
shipping_information,pengiriman ke luar pulau bisa ga
payment_inquiry,cara bayar manual pake QRIS gimana
order_status,bisa request percepat pengiriman ga bang
payment_inquiry,kok ga bisa apply paylater sih sih
complaint,ini bukan pertama kali paket saya penyok
shipping_information,estimasi J&T ke Medan berapa lama
refund_request,kapan refund tas saya cair gan
promotions_discounts,promo member gold masih available ga kak
promotions_discounts,diskon 30% untuk blender ada ga
account_data,data diri aman ga di platform ini bang
payment_inquiry,ada tulisan transaksi declined kenapa min
operating_hours_location,service center di Pekanbaru ada ga
payment_inquiry,batas pembayaran pesanan tinggal 3 jam lagi deh
payment_inquiry,cicilan 10% buat router ada ga
shipping_information,estimasi GoSend ke Semarang berapa lama
operating_hours_location,outlet yg buka 24 jam di Sulawesi mana deh
promotions_discounts,cashback GoPay untuk tahun baru berapa
complaint,makanan yg saya terima cacat banget
refund_request,ajukan pengembalian dana untuk paket
technical_support,cara fix lemot di traveloka
operating_hours_location,parking tersedia ga di toko min
operating_hours_location,tukar barang offline bisa langsung ga
refund_request,retur pesanan ongkirnya tanggungan siapa deh
